32	3	-0.022000	2	2	2	0	17800
32	3	-0.015000	2	2	2	0	2146
32	3	-0.010000	2	2	2	0	1319
32	3	-0.005000	2	2	2	0	953
32	3	-0.022000	2	2	2	2	1806
32	3	-0.015000	2	2	2	2	218
32	3	-0.010000	2	2	2	2	134
32	3	-0.005000	2	2	2	2	97
32	3	-0.022000	2	2	2	3	822
32	3	-0.015000	2	2	2	3	100
32	3	-0.010000	2	2	2	3	61
32	3	-0.005000	2	2	2	3	48
32	3	-0.022000	2	2	2	4	392
32	3	-0.015000	2	2	2	4	63
32	3	-0.010000	2	2	2	4	54
32	3	-0.005000	2	2	2	4	48
32	3	-0.020000	2	2	2	0	5767
32	3	-0.020000	2	2	2	1	1462
32	3	-0.020000	2	2	2	2	585
32	3	-0.020000	2	2	2	3	266
32	3	-0.020000	2	2	2	4	128
32	3	-0.022000	2	2	2	1	4513
32	3	-0.015000	2	2	2	1	544
32	3	-0.010000	2	2	2	1	335
32	3	-0.005000	2	2	2	1	242
